2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=LG08_frequencies, clf=AACnnClassifier, acc=0.843589723110199
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=LG08_frequencies, clf=DenseMsaClassifier, acc=0.8128204941749573
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=LG08_frequencies, clf=DenseSiteClassifier, acc=0.7692307829856873
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=LG08_frequencies, clf=LogisticRegressionClassifier, acc=0.7614039999999999
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=JTT92_frequencies, clf=AACnnClassifier, acc=0.8153846263885498
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=JTT92_frequencies, clf=DenseMsaClassifier, acc=0.843589723110199
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=JTT92_frequencies, clf=DenseSiteClassifier, acc=0.7846153974533081
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=JTT92_frequencies, clf=LogisticRegressionClassifier, acc=0.7585779999999999
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq_data2, clf=AACnnClassifier, acc=0.8641025424003601
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq_data2, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq_data2, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq_data2, clf=LogisticRegressionClassifier, acc=0.7864519999999999
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_data2_root_0, clf=AACnnClassifier, acc=0.8589743375778198
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_data2_root_0, clf=DenseMsaClassifier, acc=0.8307692408561707
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_data2_root_0, clf=DenseSiteClassifier, acc=0.843589723110199
2025-05-29 17:41:12,824 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_data2_root_0, clf=LogisticRegressionClassifier, acc=0.7759760000000001
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=AACnnClassifier, acc=0.8641025424003601
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=DenseMsaClassifier, acc=0.843589723110199
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=DenseSiteClassifier, acc=0.8461538553237915
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=LogisticRegressionClassifier, acc=0.7887719999999997
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq, clf=AACnnClassifier, acc=0.8512820601463318
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq, clf=DenseSiteClassifier, acc=0.7589743733406067
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_sampling_seq, clf=LogisticRegressionClassifier, acc=0.787438
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies, clf=AACnnClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies, clf=DenseMsaClassifier, acc=0.8153846263885498
2025-05-29 17:41:12,825 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies, clf=LogisticRegressionClassifier, acc=0.7610980000000002
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_root_0, clf=AACnnClassifier, acc=0.8512820601463318
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_root_0, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_root_0, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_sampling_seq_root_0, clf=LogisticRegressionClassifier, acc=0.79257
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=AACnnClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=DenseMsaClassifier, acc=0.8205128312110901
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=DenseSiteClassifier, acc=0.8205128312110901
2025-05-29 17:41:12,826 group=group4_WAG_basic_comparison, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=LogisticRegressionClassifier, acc=0.7920820000000001
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.2, clf=AACnnClassifier, acc=0.9384615421295166
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.2, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.2, clf=DenseSiteClassifier, acc=0.8666666746139526
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.2, clf=LogisticRegressionClassifier, acc=0.8085239999999998
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.05, clf=AACnnClassifier, acc=0.8307692408561707
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.05, clf=DenseMsaClassifier, acc=0.800000011920929
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.05, clf=DenseSiteClassifier, acc=0.8410256505012512
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.05, clf=LogisticRegressionClassifier, acc=0.782592
2025-05-29 17:41:12,827 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.1, clf=AACnnClassifier, acc=0.8615384697914124
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.1, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.1, clf=DenseSiteClassifier, acc=0.8333333134651184
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.1, clf=LogisticRegressionClassifier, acc=0.793794
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.5, clf=AACnnClassifier, acc=0.9897435903549194
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.5, clf=DenseMsaClassifier, acc=0.8641025424003601
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.5, clf=DenseSiteClassifier, acc=0.8615384697914124
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0.5, clf=LogisticRegressionClassifier, acc=0.8229859999999998
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=AACnnClassifier, acc=0.8641025424003601
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=DenseMsaClassifier, acc=0.843589723110199
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=DenseSiteClassifier, acc=0.8461538553237915
2025-05-29 17:41:12,828 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_data2_ext_0, clf=LogisticRegressionClassifier, acc=0.7887719999999997
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.2, clf=AACnnClassifier, acc=0.9205127954483032
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.2, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.2, clf=LogisticRegressionClassifier, acc=0.7923459999999998
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.1, clf=AACnnClassifier, acc=0.8589743375778198
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.1, clf=DenseMsaClassifier, acc=0.8358974456787109
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.1, clf=DenseSiteClassifier, acc=0.8153846263885498
2025-05-29 17:41:12,829 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.1, clf=LogisticRegressionClassifier, acc=0.793362
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=AACnnClassifier, acc=0.8410256505012512
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=LogisticRegressionClassifier, acc=0.7905659999999998
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=AACnnClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=DenseMsaClassifier, acc=0.8205128312110901
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=DenseSiteClassifier, acc=0.8205128312110901
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=LogisticRegressionClassifier, acc=0.7920820000000001
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=AACnnClassifier, acc=0.9871794581413269
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=DenseSiteClassifier, acc=0.764102578163147
2025-05-29 17:41:12,830 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=LogisticRegressionClassifier, acc=0.7941400000000002
2025-05-29 17:41:21,247 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=AACnnClassifier, acc=0.8564102649688721
2025-05-29 17:41:21,247 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-05-29 17:41:21,247 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=DenseSiteClassifier, acc=0.8358974456787109
2025-05-29 17:41:21,247 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=LogisticRegressionClassifier, acc=0.8028839999999999
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=AACnnClassifier, acc=0.8256410360336304
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=DenseSiteClassifier, acc=0.7743589878082275
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=LogisticRegressionClassifier, acc=0.7838340000000001
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=AACnnClassifier, acc=0.8153846263885498
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=DenseMsaClassifier, acc=0.7794871926307678
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-05-29 17:41:21,248 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=LogisticRegressionClassifier, acc=0.776972
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=AACnnClassifier, acc=0.8589743375778198
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=DenseMsaClassifier, acc=0.8307692408561707
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=DenseSiteClassifier, acc=0.843589723110199
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=LogisticRegressionClassifier, acc=0.7759760000000001
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=AACnnClassifier, acc=0.8384615182876587
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=DenseSiteClassifier, acc=0.807692289352417
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=LogisticRegressionClassifier, acc=0.7830900000000003
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=AACnnClassifier, acc=0.8666666746139526
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=DenseMsaClassifier, acc=0.8461538553237915
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-05-29 17:41:21,249 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=LogisticRegressionClassifier, acc=0.7986939999999998
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=AACnnClassifier, acc=0.8384615182876587
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=DenseMsaClassifier, acc=0.8512820601463318
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=DenseSiteClassifier, acc=0.800000011920929
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=LogisticRegressionClassifier, acc=0.8145580000000002
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=AACnnClassifier, acc=0.8512820601463318
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=LogisticRegressionClassifier, acc=0.79257
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=AACnnClassifier, acc=0.8384615182876587
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-05-29 17:41:21,250 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=LogisticRegressionClassifier, acc=0.797154
2025-05-29 17:41:21,251 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=AACnnClassifier, acc=0.8512820601463318
2025-05-29 17:41:21,251 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=DenseMsaClassifier, acc=0.8282051086425781
2025-05-29 17:41:21,251 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=DenseSiteClassifier, acc=0.8025640845298767
2025-05-29 17:41:21,251 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=LogisticRegressionClassifier, acc=0.793364
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=AACnnClassifier, acc=0.8102564215660095
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=DenseMsaClassifier, acc=0.8128204941749573
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=DenseSiteClassifier, acc=0.7615384459495544
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=LogisticRegressionClassifier, acc=0.7575899999999998
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=WAG_frequencies, clf=AACnnClassifier, acc=0.8487179279327393
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=WAG_frequencies, clf=DenseMsaClassifier, acc=0.8153846263885498
2025-05-29 17:41:21,251 group=group1_four_model_F, sim_name=WAG_frequencies, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-05-29 17:41:21,252 group=group1_four_model_F, sim_name=WAG_frequencies, clf=LogisticRegressionClassifier, acc=0.7610980000000002
2025-05-29 17:41:21,252 group=group1_four_model_F, sim_name=LG08_frequencies, clf=AACnnClassifier, acc=0.843589723110199
